college-stub	department-stub	program-stub	department-name	min-credit-hours	max-credit-hours	course-description	course-number	course-name	course-url
life-sciences	biology	animal-disease-biosecurity-and-zoonoses	Biology	3	3	Animal disease emphasizing prevention, organ systems affected, biosecurity, and zoonotic potential.	BIO 525	Animal Disease, Biosecurity, and Zoonoses	/life-sciences/biology/animal-disease-biosecurity-and-zoonoses
life-sciences	biology	aquatic-entomology	Biology	4	4	Morphology, classification, biology, and functional ecology of aquatic insects. Field trips required.	BIO 541	Aquatic Entomology	/life-sciences/biology/aquatic-entomology
life-sciences	biology	evolutionary-and-ecological-modeling	Biology	2	2	Using models in ecology. Practical experience in analytical, simulation, and agent-based models.	BIO 555	Evolutionary and Ecological Modeling	/life-sciences/biology/evolutionary-and-ecological-modeling
life-sciences	biology	limnology	Biology	3	3	Lakes, reservoirs; their biota and physical/chemical properties.	BIO 556	Limnology	/life-sciences/biology/limnology
life-sciences	biology	stream-and-wetland-ecology	Biology	4	4	Stream and wetland ecology; their biota and their physical/chemical properties.	BIO 557	Stream and Wetland Ecology	/life-sciences/biology/stream-and-wetland-ecology
life-sciences	biology	advanced-ecology	Biology	6	6		BIO 559R	Advanced Ecology	/life-sciences/biology/advanced-ecology
life-sciences	biology	advanced-systematics	Biology	6	6		BIO 559R	Advanced Systematics	/life-sciences/biology/advanced-systematics
life-sciences	biology	advanced-topics-ecology-and-evolution	Biology	6	6	Current topics in ecology, evolution, and systematics.	BIO 559R	Advanced Topics in Ecology and Evolution	/life-sciences/biology/advanced-topics-ecology-and-evolution
life-sciences	biology	biogeography	Biology	6	6		BIO 559R	Biogeography	/life-sciences/biology/biogeography
life-sciences	biology	biological-science-education	Biology	6	6	Topics include epistemology, pedagogy, innovative curriculum, and scientific education research.	BIO 559R	Biological Science Education	/life-sciences/biology/biological-science-education
life-sciences	biology	evolutionary-biology	Biology	6	6		BIO 559R	Evolutionary Biology	/life-sciences/biology/evolutionary-biology
life-sciences	biology	field-biology	Biology	6	6		BIO 559R	Field Biology	/life-sciences/biology/field-biology
life-sciences	biology	physiological-ecology	Biology	6	6		BIO 559R	Physiological Ecology	/life-sciences/biology/physiological-ecology
life-sciences	biology	tropical-biology	Biology	6	6		BIO 559R	Tropical Biology	/life-sciences/biology/tropical-biology
life-sciences	biology	population-genetics	Biology	4	4	Basic principles of population genetics applied to natural populations; drift, selection, and nonrandom mating; inferring population subdivision, migration, and gene flow.	BIO 560	Population Genetics	/life-sciences/biology/population-genetics
life-sciences	biology	scanning-electron-microscopy	Biology	3	3	Theoretical and practical scanning electron microscopy of biological, physical science, and engineering samples, emphasizing practical applications.	BIO 580	Scanning Electron Microscopy	/life-sciences/biology/scanning-electron-microscopy
life-sciences	biology	biological-applications-electron-microscopy	Biology	3	3	Theoretical and practical aspects of transmission and scanning electron microscopy of biological samples.	BIO 581	Biological Applications in Electron Microscopy	/life-sciences/biology/biological-applications-electron-microscopy
life-sciences	biology	advanced-science-service	Biology	5	5	In-service course for science teachers. Topics vary.	BIO 589R	Advanced Science In-Service	/life-sciences/biology/advanced-science-service
life-sciences	biology	botany-science-service	Biology	5	5	In-service course for science teachers.	BIO 589R	Botany Science In-Service	/life-sciences/biology/botany-science-service
life-sciences	biology	ecology-science-service	Biology	5	5	In-service course for science teachers.	BIO 589R	Ecology Science In-Service	/life-sciences/biology/ecology-science-service
life-sciences	biology	evolution-science-service	Biology	5	5	In-service course for science teachers.	BIO 589R	Evolution Science In-Service	/life-sciences/biology/evolution-science-service
life-sciences	biology	genetics-science-service	Biology	5	5	In-service course for science teachers.	BIO 589R	Genetics Science In-Service	/life-sciences/biology/genetics-science-service
life-sciences	biology	meterology-science-service	Biology	5	5	In-service course for science teachers.	BIO 589R	Meterology Science In-Service	/life-sciences/biology/meterology-science-service
humanities	center-language-studies	first-year-bulgarian	Center for Language Studies	4	4	Basic language skills.	BULGN 101	First-Year Bulgarian	/humanities/center-language-studies/first-year-bulgarian
humanities	center-language-studies	first-year-bulgarian-0	Center for Language Studies	4	4	Basic language skills.	BULGN 102	First-Year Bulgarian	/humanities/center-language-studies/first-year-bulgarian-0
humanities	center-language-studies	second-year-bulgarian	Center for Language Studies	4	4	Grammar review and conversation.	BULGN 201	Second-Year Bulgarian	/humanities/center-language-studies/second-year-bulgarian
humanities	center-language-studies	second-year-conversation-2	Center for Language Studies	5	5	Intermediate listening comprehension and speaking skills.	BULGN 211R	Second-Year Conversation	/humanities/center-language-studies/second-year-conversation-2
humanities	center-language-studies	cultural-history-of-bulgaria	Center for Language Studies	3	3	Entry course for returned missionaries or others with extensive Bulgarian language experience.	BULGN 330	Cultural History of Bulgaria	/humanities/center-language-studies/cultural-history-of-bulgaria
management		corporate-financial-reporting	Management	1.5	1.5	Analyzing financial accounting and reporting issues used by prospective managers.	MBA 501	Corporate Financial Reporting	/management/corporate-financial-reporting
management		managerial-accounting-1	Management	1.5	1.5	Objectives and procedures of cost accounting. Topics include job costing, joint product costing, cost behavior analysis, standard costs, cost allocation problems, and cost data use in management.	MBA 502	Managerial Accounting 1	/management/managerial-accounting-1
management		leadership	Management	3	3	Develop leadership ability by identifying and building upon existing strengths. Students focus on maintaining positive professional relationships while motivating high performance of individuals, teams, and organizations. Topics include...	MBA 505	Leadership	/management/leadership
management		management-and-information-technology	Management	1.5	1.5	Management and control with information technology. Information flow, database design, and use applied to cost controls and managerial decision making.	MBA 510	Management and Information Technology	/management/management-and-information-technology
management		business-finance	Management	3	3	Short-term financing of a business operation. Developing techniques for financial planning, such as analysis of ratios, profitability, and liquidity.	MBA 520	Business Finance	/management/business-finance
management		global-treasury-management	Management	3	3	Prepare students to work as treasurer or CFO by helping them understand banking relations, cash management, short-term investing and borrowing, liquidity management, and receivables and payables management in an era of electronic commerce.	MBA 521	Global Treasury Management	/management/global-treasury-management
management		advanced-corporate-financial-reporting	Management	1.5	1.5	Areas of financial reporting where managers have considerable discretion, including pensions, leases, equity securities, earnings, dilution, employee stock options, and deferred taxes. Dynamics between auditors, managers, and financial analysts.	MBA 524	Advanced Corporate Financial Reporting	/management/advanced-corporate-financial-reporting
management		financial-statement-analysis	Management	1.5	1.5	Analysis of financial statements and accompanying footnotes. How various accounting methods might affect interpretation and use of financial information.	MBA 527	Financial Statement Analysis	/management/financial-statement-analysis
management		managerial-finance	Management	3	3	Elaboration on MBA 520 topics (i.e., capital budgetary, cost of capital, and capital structure). Concepts such as real options, valuation, and mergers introduced.	MBA 528	Managerial Finance	/management/managerial-finance
management		strategic-logistics-management	Management	3	3	Applying and integrating logistics-related topics, including materials management, physical distribution, inventory management, warehousing, logistics network design, customer service, packaging, and materials handling.	MBA 529	Strategic Logistics Management	/management/strategic-logistics-management
management		operations-management	Management	3	3	Examining issues and tools in production and operations management. Specific tools for forecasting, planning, inventory control, and project management presented and developed.	MBA 530	Operations Management	/management/operations-management
management		strategic-sourcing	Management	3	3	Upstream supply chain activities of supplier selection, management, and development. Topics will include negotiations, costing, product development, and commodity analysis.	MBA 532	Strategic Sourcing	/management/strategic-sourcing
management		change-management	Management	3	3	Theory and practice of change in organizations.	MBA 537	Change Management	/management/change-management
management		micromacro-organizational-behavior	Management	3	3	Foundation for understanding organizations -- behavior, structure, purposes, including models and diagnostic frameworks. How overall environment and societal context shape individuals and organizations.	MBA 542	Micro/Macro Organizational Behavior	/management/micromacro-organizational-behavior
management		team-management-and-consultation	Management	3	3	Investigating the dynamics that make teams successful, analyzing pitfalls of working in teams, and exploring recommendations to improve team effectiveness. Identifying and resolving common team challenges, as team members and consultants to an...	MBA 544	Team Management and Consultation	/management/team-management-and-consultation
management		human-resource-management-skills	Management	3	3	Acquiring skills and competencies including selection, compensation, performance evaluation, training evaluation, organizational assessment, and research methodology.	MBA 546	Human Resource Management Skills	/management/human-resource-management-skills
management		labor-relations-and-employment-law	Management	3	3	U.S./International labor/industrial relations. History, labor law, union organizing campaigns, contract negotiations, arbitration, union avoidance. Employment discrimination, work policies, and workplace safety and health.	MBA 547	Labor Relations and Employment Law	/management/labor-relations-and-employment-law
management		strategic-human-resource-management	Management	3	3	HRM from manager's perspective. Employment relationship, recruiting/selection, employment law, performance management, and HRM in emerging companies. Managing human assets within firm's strategy, industry, and stakeholder environment.	MBA 548	Strategic Human Resource Management	/management/strategic-human-resource-management
management		professional-seminar-organizational-behavior	Management	3	3	Special topics or problems varying from semester to semester, e.g., conflict resolution, power and influence, intergroup relations, career development and planning, and management skills.	MBA 549R	Professional Seminar in Organizational Behavior	/management/professional-seminar-organizational-behavior
management		understanding-organizations	Management	3	3	Perspectives of psychology and sociology on the organization, organizational identity, organizational effectiveness, and organizational change. Critical thinking and application to cases and personal experience.	MBA 549R	Understanding Organizations	/management/understanding-organizations
management		work-and-family	Management	3	3	Research and practical application related to successfully harmonizing one's family and work lives.	MBA 549R	Work and Family	/management/work-and-family
management		marketing-management	Management	3	3	Development of analytical marketing tools and techniques; their utilization in case analysis and decision making in marketing management.	MBA 550	Marketing Management	/management/marketing-management
management		pricing-strategies	Management	3	3	Introduction to frameworks relevant for making pricing decisions. An integrative approach to pricing strategies combining strategic, economic, marketing, and psychological considerations.	MBA 553	Pricing Strategies	/management/pricing-strategies
management		internet-marketing	Management	3	3	Marketing strategy for business on the internet: marketing research, sales, and promotional concepts.	MBA 554	Internet Marketing	/management/internet-marketing
management		advertising-and-promotion	Management	3	3	Key issues facing marketing managers when promoting products and services. Cases, readings, and research on the elements of effective communication strategies and promotional programs.	MBA 556	Advertising and Promotion	/management/advertising-and-promotion
management		business-strategy	Management	3	3	Introduction to strategic planning; concepts, models, and analysis.	MBA 580	Business Strategy	/management/business-strategy
management		introduction-global-management	Management	1.5	1.5	Foundations in global management integrating strategy, finance, operations, marketing, and human resource management.	MBA 584	Introduction to Global Management	/management/introduction-global-management
management		business-plan-competition-management	Management	3	3	Directors of the BYU Business Plan Competition learn and apply skills in leadership, governance, financial management, mentoring, and VA/Angel networking. application and faculty approval required.	MBA 590R	Business Plan competition Management	/management/business-plan-competition-management
management		consulting-field-study	Management	3	3	Working as a team with faculty and management in strategic consulting projects for local, national, and international business.	MBA 590R	Consulting Field Study	/management/consulting-field-study
management		miller-new-venture-competition-leadership	Management	3	3	Working as a team with faculty and management in strategic consulting projects for local, national, and international business.	MBA 590R	Miller New Venture Competition Leadership	/management/miller-new-venture-competition-leadership
management		integrative-exercise	Management	3	3	Integrated applications of case analysis and presentation skills. Group work to analyze cases and formulate recommendations, followed by professional presentations to groups representing management.	MBA 591R	Integrative Exercise	/management/integrative-exercise
management		management-seminar	Management	3	3	Invited guests speak on topics of general management interest ranging from ethics, industry problems and opportunities, and government policies to relevant current events.	MBA 593R	Management Seminar	/management/management-seminar
management		curricular-practical-training	Management	0.5	0.5	Hands-on practical training for MBA international students to be taken after their first year of the MBA program.	MBA 598R	Curricular Practical Training	/management/curricular-practical-training
management	marketing-and-global-supply-chain	introduction-entrepreneurship	Marketing and Global Supply Chain	3	3	Is entrepreneurship for you? Basics of entrepreneurship, its importance to society, opportunities to pursue a startup company, and impact on future careers.	BUS M 170	Introduction to Entrepreneurship	/management/marketing-and-global-supply-chain/introduction-entrepreneurship
management	marketing-and-global-supply-chain	business-career-lecture-series	Marketing and Global Supply Chain	0.5	0.5	Lecture series exploring various business career alternatives.	BUS M 180	Business Career Lecture Series	/management/marketing-and-global-supply-chain/business-career-lecture-series
management	marketing-and-global-supply-chain	academic-internship	Marketing and Global Supply Chain	3	3	Supervised experience for nonbusiness students either in service or business-related work.	BUS M 199R	Academic Internship	/management/marketing-and-global-supply-chain/academic-internship
management	marketing-and-global-supply-chain	financial-management	Marketing and Global Supply Chain	3	3	Financial statement analysis, financial planning, sources of financing, working capital management, risk and return, and valuation.	BUS M 201	Financial Management	/management/marketing-and-global-supply-chain/financial-management
management	marketing-and-global-supply-chain	planning-financial-security-retirement	Marketing and Global Supply Chain	1	1	Fundamentals of good financial management necessary for successful retirement.	BUS M 205R	Planning for Financial Security at Retirement	/management/marketing-and-global-supply-chain/planning-financial-security-retirement
management	marketing-and-global-supply-chain	marketing-management-0	Marketing and Global Supply Chain	3	3	Marketing's role in society and the firm, marketing opportunities, the consumer market, and management of marketing mix.	BUS M 241	Marketing Management	/management/marketing-and-global-supply-chain/marketing-management-0
management	marketing-and-global-supply-chain	introduction-global-supply-chain-management	Marketing and Global Supply Chain	3	3	Introduces global supply chain management: how firms work with other firms, often foreign firms, to deliver value to customers. Also discusses the global production of goods and services, which is operations management. Topics include process design...	BUS M 260	Introduction to Global Supply Chain Management	/management/marketing-and-global-supply-chain/introduction-global-supply-chain-management
management	marketing-and-global-supply-chain	legal-issues-entrepreneurship	Marketing and Global Supply Chain	3	3	Legal risks faced by entrepreneurs. How to plan for and avoid legal problems including forming the business, legal liability, and protecting assets.	BUS M 277	Legal Issues in Entrepreneurship	/management/marketing-and-global-supply-chain/legal-issues-entrepreneurship
management	marketing-and-global-supply-chain	innovation-bootcamp	Marketing and Global Supply Chain	1	1	Through a series of hands-on experiences, students explore principles, methods, and tools of innovation and design thinking.	BUS M 312	Innovation Bootcamp	/management/marketing-and-global-supply-chain/innovation-bootcamp
management	marketing-and-global-supply-chain	bus-m-tech-startup-bootcamp	Marketing and Global Supply Chain	1	1	Learn and apply the basic skills to create a startup company. Work in teams to identify entrepreneurial opportunities and develop innovative solutions. Interact with real customers to validate business assumptions. Prepare a financial plan and...	BUS M 313	(BUS M-TECH) Startup Bootcamp	/management/marketing-and-global-supply-chain/bus-m-tech-startup-bootcamp
management	marketing-and-global-supply-chain	career-orientation-and-preparation	Marketing and Global Supply Chain	0.5	0.5	Student orientation and preparation for careers in management.	BUS M 320	Career Orientation and Preparation	/management/marketing-and-global-supply-chain/career-orientation-and-preparation
management	marketing-and-global-supply-chain	mentor-program	Marketing and Global Supply Chain	0.5	0.5	Discussions with outside mentor about career opportunities.	BUS M 321	Mentor Program	/management/marketing-and-global-supply-chain/mentor-program
management	marketing-and-global-supply-chain	career-development-and-student-mentoring	Marketing and Global Supply Chain	1	1	Introduction to the resources, services, and opportunities for career development available to business management majors. Specific projects include developing a career plan, refining interviewing and networking skills, and interacting individually...	BUS M 326	Career Development and Student Mentoring	/management/marketing-and-global-supply-chain/career-development-and-student-mentoring
management	marketing-and-global-supply-chain	marketing-management	Marketing and Global Supply Chain	3	3	Market segmentation, product service, promotion, channel, pricing strategies. Marketing principles in consumer and industrial markets, profit and nonprofit organizations, domestic and international companies, and small and large firms.	BUS M 341	Marketing Management	/management/marketing-and-global-supply-chain/marketing-management
management	marketing-and-global-supply-chain	operations-management	Marketing and Global Supply Chain	3	3	Examining issues and tools in production and operations management. Specific tools for forecasting, planning, inventory control, and project management presented and developed. Process design and improvement in both manufacturing and service...	BUS M 361	Operations Management	/management/marketing-and-global-supply-chain/operations-management
management	marketing-and-global-supply-chain	entrepreneurship-lecture-series	Marketing and Global Supply Chain	1	1	Lectures by successful entrepreneurs on subjects significant to entrepreneur-type opportunities.	BUS M 371R	Entrepreneurship Lecture Series	/management/marketing-and-global-supply-chain/entrepreneurship-lecture-series
management	marketing-and-global-supply-chain	marriott-school-lecture-series	Marketing and Global Supply Chain	1	1		BUS M 371R	Marriott School Lecture Series	/management/marketing-and-global-supply-chain/marriott-school-lecture-series
management	marketing-and-global-supply-chain	women-entrepreneurs	Marketing and Global Supply Chain	1	1	Lectures by successful women entrepreneurs on subjects significant to entrepreneur-type opportunities for women.	BUS M 371R	Women Entrepreneurs	/management/marketing-and-global-supply-chain/women-entrepreneurs
management	marketing-and-global-supply-chain	basic-entrepreneurship-skills	Marketing and Global Supply Chain	3	3	Practical aspects of business formation and growth; key skills and principles needed to successfully start up and grow a business.	BUS M 372	Basic Entrepreneurship Skills	/management/marketing-and-global-supply-chain/basic-entrepreneurship-skills
management	marketing-and-global-supply-chain	social-innovation-do-good-better	Marketing and Global Supply Chain	3	3	Focuses on the most prominent approaches used in social innovation and entrepreneurship. Students develop skills in analyzing social ventures, including root cause analysis, solution evaluation, and social impact measurement; and leave with the...	BUS M 375	Social Innovation: Do Good Better	/management/marketing-and-global-supply-chain/social-innovation-do-good-better
management	marketing-and-global-supply-chain	executive-lectures	Marketing and Global Supply Chain	1	1	Lectures by top executives on subjects significant to executive leadership.	BUS M 380	Executive Lectures	/management/marketing-and-global-supply-chain/executive-lectures
management	marketing-and-global-supply-chain	financial-services-lecture-series	Marketing and Global Supply Chain	1	1	Lectures by executives on financial services topics.	BUS M 382	Financial Services Lecture Series	/management/marketing-and-global-supply-chain/financial-services-lecture-series
management	marketing-and-global-supply-chain	ethics-management	Marketing and Global Supply Chain	3	3	Analyzing ethical dilemmas and understanding ethical theories as they apply to decision making in management.	BUS M 390	Ethics for Management	/management/marketing-and-global-supply-chain/ethics-management
management	marketing-and-global-supply-chain	introduction-international-business	Marketing and Global Supply Chain	3	3	Complexities confronting U.S. firms and their management in international environments. Emphasizes functional and planning areas, including organization, market research, financial analysis.	BUS M 430	Introduction to International Business	/management/marketing-and-global-supply-chain/introduction-international-business
management	marketing-and-global-supply-chain	international-marketing	Marketing and Global Supply Chain	3	3	International market entry strategies, export marketing, joint ventures, and other market entry modes. Regional/National markets; cultural, political, legal environments. Negotiations, trade financing, marketing mix.	BUS M 431	International Marketing	/management/marketing-and-global-supply-chain/international-marketing
management	marketing-and-global-supply-chain	marketing-analysis	Marketing and Global Supply Chain	3	3	Key issues in using data and analytical techniques to identify marketing insights from business data.	BUS M 440	Marketing Analysis	/management/marketing-and-global-supply-chain/marketing-analysis
management	marketing-and-global-supply-chain	marketing-research	Marketing and Global Supply Chain	3	3	Concepts and methodology for conducting marketing research. Emphasis on solving problems faced by the marketing manager. Consulting research project required.	BUS M 442	Marketing Research	/management/marketing-and-global-supply-chain/marketing-research
management	marketing-and-global-supply-chain	consumer-behavior	Marketing and Global Supply Chain	3	3	Mental and emotional processes and physical actions that people engage in when selecting, purchasing, using, and discarding products and services to satisfy consumer needs and desires.	BUS M 444	Consumer Behavior	/management/marketing-and-global-supply-chain/consumer-behavior
management	marketing-and-global-supply-chain	global-business-negotiations	Marketing and Global Supply Chain	3	3	Developing an effective negotiation framework for cross-national/cultural negotiation techniques relative to business and other life situations.	BUS M 450	Global Business Negotiations	/management/marketing-and-global-supply-chain/global-business-negotiations
management	marketing-and-global-supply-chain	professional-selling-and-sales-management	Marketing and Global Supply Chain	3	3	Concepts of professional selling and sales management including personal selling skills; strategic role of personal selling; organizing, directing, controlling, and evaluating the sales force.	BUS M 454	Professional Selling and Sales Management	/management/marketing-and-global-supply-chain/professional-selling-and-sales-management
management	marketing-and-global-supply-chain	advertising-and-promotion-management	Marketing and Global Supply Chain	3	3	Strategies in promoting business and nonbusiness products, services, and institutions, including the role of advertising, promotion, target selection, media and copy decisions, and marketing research.	BUS M 455	Advertising and Promotion Management	/management/marketing-and-global-supply-chain/advertising-and-promotion-management
management	marketing-and-global-supply-chain	retailing-management	Marketing and Global Supply Chain	3	3	Selection, location, and management of retail stores and systems, emphasizing profitability and integration of accounting, finance, and economic concepts and tools.	BUS M 456	Retailing Management	/management/marketing-and-global-supply-chain/retailing-management
management	marketing-and-global-supply-chain	internet-marketing-of-products-and-services	Marketing and Global Supply Chain	3	3	Integrates product, research, sales, and promotional strategy and concepts into an overall marketing plan for developing an Internet business. Term project developing an Internet business required.	BUS M 457	Internet Marketing of Products and Services	/management/marketing-and-global-supply-chain/internet-marketing-of-products-and-services
management	marketing-and-global-supply-chain	marketing-strategy	Marketing and Global Supply Chain	3	3	Integration of finance, marketing, and case studies in economic concepts and techniques in marketing decision making and planning.	BUS M 459	Marketing Strategy	/management/marketing-and-global-supply-chain/marketing-strategy
management	marketing-and-global-supply-chain	operations-analytics	Marketing and Global Supply Chain	3	3	Methods and tools necessary for analyzing and solving problems associated with global supply chain management.	BUS M 461	Operations Analytics	/management/marketing-and-global-supply-chain/operations-analytics
management	marketing-and-global-supply-chain	customer-relationship-management	Marketing and Global Supply Chain	3	3	Methods and principles for effective management of customer relationships within service businesses. Analyzing customer-interactive processes with regard to strategic innovation, performance measurement and improvement, process efficiency,...	BUS M 462	Customer Relationship Management	/management/marketing-and-global-supply-chain/customer-relationship-management
management	marketing-and-global-supply-chain	services-management	Marketing and Global Supply Chain	3	3	Management principles and characteristics of service industries and service aspects of supply chains: sources of strategic advantage; process analysis and tools; quality.	BUS M 462	Services Management	/management/marketing-and-global-supply-chain/services-management
management	marketing-and-global-supply-chain	quality-management	Marketing and Global Supply Chain	3	3	Concepts of quality management, strategic issues, philosophies, tools, and fundamentals such as Six Sigma and Lean Production used to innovate and improve quality.	BUS M 463	Quality Management	/management/marketing-and-global-supply-chain/quality-management
management	marketing-and-global-supply-chain	global-supply-chain	Marketing and Global Supply Chain	3	3	The emerging rules of a global marketplace and their influence on key supply chain activities and processes.	BUS M 465	Global Supply Chain	/management/marketing-and-global-supply-chain/global-supply-chain
management	marketing-and-global-supply-chain	purchasing-and-supply-management	Marketing and Global Supply Chain	3	3	Focuses on upstream supply chain activities of supplier selection, management, and development. Negotiation, costing, product development, and commodity analysis.	BUS M 466	Purchasing and Supply Management	/management/marketing-and-global-supply-chain/purchasing-and-supply-management
management	marketing-and-global-supply-chain	supply-chain-logistics	Marketing and Global Supply Chain	3	3	Integration of materials management (inbound transportation), physical distribution (outbound transportation), inventory, warehousing, facility location, customer service, packaging, and materials handling.	BUS M 468	Supply Chain Logistics	/management/marketing-and-global-supply-chain/supply-chain-logistics
management	marketing-and-global-supply-chain	global-supply-chain-strategy	Marketing and Global Supply Chain	3	3	Integrative and creative problem solving in designing and managing cohesive value-added conversion/transformation systems in a global environment.	BUS M 469	Global Supply Chain Strategy	/management/marketing-and-global-supply-chain/global-supply-chain-strategy
management	marketing-and-global-supply-chain	entrepreneurial-innovation	Marketing and Global Supply Chain	3	3	Finding and validating ideas for innovative new ventures with a focus on customer pain, elegant solutions, and markets.	BUS M 470	Entrepreneurial Innovation	/management/marketing-and-global-supply-chain/entrepreneurial-innovation
management	marketing-and-global-supply-chain	creating-new-ventures	Marketing and Global Supply Chain	3	3	Learning the critical skills to create a successful new venture by validating an initial idea and business model in the field.	BUS M 471	Creating New Ventures	/management/marketing-and-global-supply-chain/creating-new-ventures
management	marketing-and-global-supply-chain	entrepreneurial-marketing	Marketing and Global Supply Chain	3	3	Marketing strategies for start-up companies. Topics include marketing to investors, internal marketing, and how to market products/services without a marketing budget.	BUS M 472	Entrepreneurial Marketing	/management/marketing-and-global-supply-chain/entrepreneurial-marketing
management	marketing-and-global-supply-chain	managing-new-ventures-and-family-business	Marketing and Global Supply Chain	3	3	How to operate, grow, and exit new ventures and family-owned businesses following their creation and funding. Consulting project required.	BUS M 474	Managing New Ventures and Family Business	/management/marketing-and-global-supply-chain/managing-new-ventures-and-family-business
management	marketing-and-global-supply-chain	financing-new-ventures	Marketing and Global Supply Chain	3	3	Concepts and skills of entrepreneurship, emphasizing how new and emerging companies are financed. Applying functional tools to case situations.	BUS M 475	Financing New Ventures	/management/marketing-and-global-supply-chain/financing-new-ventures
management	marketing-and-global-supply-chain	new-venture-launchpad	Marketing and Global Supply Chain	3	3	Launching actual new ventures. Mentored learning of idea validation, business models, minimum viable products, and financing plans. Good preparations for participating in BYU's entrepreneurial competitions.	BUS M 476	New Venture LaunchPad	/management/marketing-and-global-supply-chain/new-venture-launchpad
management	marketing-and-global-supply-chain	innovation-practicum	Marketing and Global Supply Chain	3	3	Interdisciplinary perspectives and practice in innovation emphasizing discovering and commercializing new ideas in interdisciplinary teams.	BUS M 478A	Innovation Practicum	/management/marketing-and-global-supply-chain/innovation-practicum
management	marketing-and-global-supply-chain	advanced-innovation-practicum	Marketing and Global Supply Chain	3	3	Interdisciplinary perspectives and practice in innovation emphasizing discovering and commercializing new ideas in interdisciplinary teams.	BUS M 478B	Advanced Innovation Practicum	/management/marketing-and-global-supply-chain/advanced-innovation-practicum
management	marketing-and-global-supply-chain	strategy-1	Marketing and Global Supply Chain	3	3	Structured problem solving, strategic thinking, and basic strategy concepts to prepare students to analyze and understand the sources of competitive advantage and superior firm performance.	BUS M 480	Strategy 1	/management/marketing-and-global-supply-chain/strategy-1
management	marketing-and-global-supply-chain	strategy-2	Marketing and Global Supply Chain	3	3	Advanced strategy topics such as growth and diversification strategy, pricing strategy, game theory and competitor analysis, strategy as real options, and strategic flexibility and commitment.	BUS M 481	Strategy 2	/management/marketing-and-global-supply-chain/strategy-2
management	marketing-and-global-supply-chain	strategy-implementation	Marketing and Global Supply Chain	3	3	Integrative course on strategy formulation and implementation, including a field study. Topics include organizational alignment (structure and processes that fit the stragety), change management, and strategic leadership.	BUS M 482	Strategy Implementation	/management/marketing-and-global-supply-chain/strategy-implementation
management	marketing-and-global-supply-chain	strategy-analytics	Marketing and Global Supply Chain	3	3	Concepts and tools of economic and quantitative analysis as they relate to the development and success of strategy.	BUS M 486	Strategy Analytics	/management/marketing-and-global-supply-chain/strategy-analytics
management	marketing-and-global-supply-chain	strategy-and-economics	Marketing and Global Supply Chain	3	3	Economic tools influencing the success of strategy (creation and appropriation of value) emphasizing application of economic theory to management of practice.	BUS M 487	Strategy and Economics	/management/marketing-and-global-supply-chain/strategy-and-economics
management	marketing-and-global-supply-chain	agribusiness-management-1	Marketing and Global Supply Chain	3	3	Concepts, tools, and approaches to understanding competitive forces and the development of sustainable competitive advantage for firms in the food, fiber, and horticulture industries.	BUS M 488	Agribusiness Management 1	/management/marketing-and-global-supply-chain/agribusiness-management-1
management	marketing-and-global-supply-chain	agribusiness-management-2	Marketing and Global Supply Chain	3	3	Developing and implementing marketing plans and programs for companies participating in the value chain of agribusiness industries.	BUS M 489	Agribusiness Management 2	/management/marketing-and-global-supply-chain/agribusiness-management-2
management	marketing-and-global-supply-chain	real-estate-investment-analysis	Marketing and Global Supply Chain	3	3		BUS M 490R	Real Estate Investment Analysis	/management/marketing-and-global-supply-chain/real-estate-investment-analysis
management	marketing-and-global-supply-chain	topics-business-management	Marketing and Global Supply Chain	3	3	Current business-related topics varying by semester and section.	BUS M 490R	Topics in Business Management	/management/marketing-and-global-supply-chain/topics-business-management
management	marketing-and-global-supply-chain	social-innovation-projects	Marketing and Global Supply Chain	3	3	Direct, practical on-campus (not in the field) and off-campus experience consulting with established and recognized social innovators and their social ventures. Students are accepted to work on specific projects based on their skills. Students apply...	BUS M 491R	Social Innovation Projects	/management/marketing-and-global-supply-chain/social-innovation-projects
management	marketing-and-global-supply-chain	campus-experiential-projects	Marketing and Global Supply Chain	3	3	Direct, practical on-campus (not in the field) professional experience consulting with established and startup companies and organizations. Students are accepted to work on specific projects based on their skills, interests, and major emphasis....	BUS M 494R	On-Campus Experiential Projects	/management/marketing-and-global-supply-chain/campus-experiential-projects
management	marketing-and-global-supply-chain	e-business-projects	Marketing and Global Supply Chain	3	3	Consulting/Field studies projects in e-business.	BUS M 495R	E-Business Projects	/management/marketing-and-global-supply-chain/e-business-projects
management	marketing-and-global-supply-chain	academic-internship-0	Marketing and Global Supply Chain	3	3	Supervised experience for business majors either in service or business-related work. Opportunity to link learning with practical field applications.	BUS M 496R	Academic Internship	/management/marketing-and-global-supply-chain/academic-internship-0
management	marketing-and-global-supply-chain	investment-banking-internship	Marketing and Global Supply Chain	1.5	1.5		BUS M 496R	Investment Banking Internship	/management/marketing-and-global-supply-chain/investment-banking-internship
management	marketing-and-global-supply-chain	strategy-and-organization	Marketing and Global Supply Chain	3	3	Concepts and tools of strategic management, with an emphasis on the contribution of organizational behavior and theory in the development of sustainable competitive advantages.	BUS M 498	Strategy and Organization	/management/marketing-and-global-supply-chain/strategy-and-organization
