college-stub	department-stub	faculty-stub	faculty-name	faculty-rank	department-name	faculty-url	faculty-degree	faculty-school	faculty-degree-year	faculty-discipline
fine-arts-and-communications	theatre-and-media-arts	dean-w-duncan	Dean W Duncan	Associate Professor	Theatre and Media Arts	/fine-arts-and-communications/theatre-and-media-arts/dean-w-duncan				
family-home-and-social-sciences	school-of-family-life	stephen-farr-duncan	Stephen Farr Duncan	Professor	School of Family Life	/family-home-and-social-sciences/school-of-family-life/stephen-farr-duncan				
life-sciences	nutrition-dietetics-and-food-science	mike-l-dunn	Mike L Dunn	Associate Professor	Nutrition Dietetics and Food Science	/life-sciences/nutrition-dietetics-and-food-science/mike-l-dunn				
fine-arts-and-communications	school-of-music	robert-e-dunn	Robert E Dunn	Professor	School of Music	/fine-arts-and-communications/school-of-music/robert-e-dunn				
physical-and-mathematical-sciences	physics-and-astronomy	dallin-s-durfee	Dallin S Durfee	Associate Professor	Physics and Astronomy	/physical-and-mathematical-sciences/physics-and-astronomy/dallin-s-durfee				
family-home-and-social-sciences	geography	jeffrey-olani-durrant	Jeffrey Olani Durrant	Associate Professor	Geography	/family-home-and-social-sciences/geography/jeffrey-olani-durrant				
family-home-and-social-sciences	history	eric-r-dursteler	Eric R Dursteler	Professor	History	/family-home-and-social-sciences/history/eric-r-dursteler				
education	counseling-psychology-and-special-education	tina-t-dyches	Tina T Dyches	Professor	Counseling Psychology and Special Education	/education/counseling-psychology-and-special-education/tina-t-dyches				
management	organizational-leadership-and-strategy	jeffrey-hansen-dyer	Jeffrey Hansen Dyer	Professor	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy/jeffrey-hansen-dyer				
religious-education	church-history-and-doctrine	william-j-dyer	William J Dyer	Assistant Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/william-j-dyer				
management	organizational-leadership-and-strategy	w-gibb-dyer	W Gibb Dyer	Professor	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy/w-gibb-dyer				
family-home-and-social-sciences	political-science	adam-michael-dynes	Adam Michael Dynes	Assistant Professor	Political Science	/family-home-and-social-sciences/political-science/adam-michael-dynes				
humanities	english	aaron-christopher-eastley	Aaron Christopher Eastley	Associate Professor	English	/humanities/english/aaron-christopher-eastley				
religious-education	ancient-scripture	amy-annette-easton-flake	Amy Annette Easton-Flake	Assistant Professor	Ancient Scripture	/religious-education/ancient-scripture/amy-annette-easton-flake				
humanities	linguistics-and-english-language	grant-taylor-eckstein	Grant Taylor Eckstein	Assistant Professor	Linguistics and English Language	/humanities/linguistics-and-english-language/grant-taylor-eckstein				
humanities	linguistics-and-english-language	david-s-eddington	David S Eddington	Professor	Linguistics and English Language	/humanities/linguistics-and-english-language/david-s-eddington				
nursing	nursing-program	lacey-miller-eden	Lacey Miller Eden	Assistant Teaching Professor	Nursing Program	/nursing/nursing-program/lacey-miller-eden				
nursing	nursing-program	debra-m-edmunds	Debra M Edmunds	Assistant Teaching Professor	Nursing Program	/nursing/nursing-program/debra-m-edmunds				
life-sciences	physiology-and-developmental-biology	jeff-glen-edwards	Jeff Glen Edwards	Associate Professor	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology/jeff-glen-edwards				
physical-and-mathematical-sciences	computer-science	parris-k-egbert	Parris K Egbert	Professor	Computer Science	/physical-and-mathematical-sciences/computer-science/parris-k-egbert				
physical-and-mathematical-sciences	statistics	dennis-lee-eggett	Dennis Lee Eggett	Research Associate Professor	Statistics	/physical-and-mathematical-sciences/statistics/dennis-lee-eggett				
humanities	linguistics-and-english-language	william-gregory-eggington	William Gregory Eggington	Professor	Linguistics and English Language	/humanities/linguistics-and-english-language/william-gregory-eggington				
family-home-and-social-sciences	economics	eric-raymond-eide	Eric Raymond Eide	Professor	Economics	/family-home-and-social-sciences/economics/eric-raymond-eide				
engineering-and-technology	school-of-technology	joseph-jones-ekstrom	Joseph Jones Ekstrom	Associate Professor	School of Technology	/engineering-and-technology/school-of-technology/joseph-jones-ekstrom				
management	marketing-and-global-supply-chain	ryan-smith-elder	Ryan Smith Elder	Assistant Professor	Marketing and Global Supply Chain	/management/marketing-and-global-supply-chain/ryan-smith-elder				
humanities	english	eric-alden-eliason	Eric Alden Eliason	Professor	English	/humanities/english/eric-alden-eliason				
humanities	linguistics-and-english-language	dirk-allen-elzinga	Dirk Allen Elzinga	Associate Professor	Linguistics and English Language	/humanities/linguistics-and-english-language/dirk-allen-elzinga				
family-home-and-social-sciences	geography	chad-fife-emmett	Chad Fife Emmett	Associate Professor	Geography	/family-home-and-social-sciences/geography/chad-fife-emmett				
physical-and-mathematical-sciences	statistics	david-engler	David A Engler	Associate Professor	Statistics	/physical-and-mathematical-sciences/statistics/david-engler				
non-college-and-other-units	counseling-and-career-center	david-mcconkie-erekson	David McConkie Erekson	Assistant Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/david-mcconkie-erekson				
life-sciences	microbiology-and-molecular-biology	david-l-erickson	David L Erickson	Associate Professor	Microbiology and Molecular Biology	/life-sciences/microbiology-and-molecular-biology/david-l-erickson				
family-home-and-social-sciences	sociology	lance-david-erickson	Lance David Erickson	Associate Professor	Sociology	/family-home-and-social-sciences/sociology/lance-david-erickson				
education	teacher-education	lynnette-bloom-erickson	Lynnette Bloom Erickson	Associate Professor	Teacher Education	/education/teacher-education/lynnette-bloom-erickson				
humanities	french-and-italian	robert-gammell-erickson	Robert Gammell Erickson	Assistant Professor	French and Italian	/humanities/french-and-italian/robert-gammell-erickson				
humanities	english	emron-lee-esplin	Emron Lee Esplin	Assistant Professor	English	/humanities/english/emron-lee-esplin				
humanities	comparative-arts-and-letters	marlene-hansen-esplin	Marlene Hansen Esplin	Assistant Professor	Comparative Arts and Letters	/humanities/comparative-arts-and-letters/marlene-hansen-esplin				
religious-education	church-history-and-doctrine	scott-c-esplin	Scott C Esplin	Associate Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/scott-c-esplin				
physical-and-mathematical-sciences	chemistry-and-biochemistry	daniel-halsell-ess	Daniel Halsell Ess	Assistant Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/daniel-halsell-ess				
life-sciences	microbiology-and-molecular-biology	r-paul-evans	R Paul Evans	Assistant Professor	Microbiology and Molecular Biology	/life-sciences/microbiology-and-molecular-biology/r-paul-evans				
physical-and-mathematical-sciences	mathematics	emily-jennings-evans	Emily Jennings Evans	Assistant Professor	Mathematics	/physical-and-mathematical-sciences/mathematics/emily-jennings-evans				
humanities	linguistics-and-english-language	norman-wall-evans	Norman Wall Evans	Associate Professor	Linguistics and English Language	/humanities/linguistics-and-english-language/norman-wall-evans				
fine-arts-and-communications	art	peter-h-everett	Peter H Everett	Associate Professor	Art	/fine-arts-and-communications/art/peter-h-everett				
fine-arts-and-communications	art	daniel-brian-everett	Daniel Brian Everett	Assistant Professor	Art	/fine-arts-and-communications/art/daniel-brian-everett				
humanities	english	mary-kathleen-eyring	Mary Kathleen Eyring	Assistant Professor	English	/humanities/english/mary-kathleen-eyring				
management	public-management	rex-l-facer	Rex L Facer	Associate Professor	Public Management	/management/public-management/rex-l-facer				
humanities	spanish-and-portuguese	willis-c-fails	Willis C Fails	Associate Professor	Spanish and Portuguese	/humanities/spanish-and-portuguese/willis-c-fails				
engineering-and-technology	school-of-technology	clifton-b-farnsworth	Clifton B Farnsworth	Assistant Professor	School of Technology	/engineering-and-technology/school-of-technology/clifton-b-farnsworth				
physical-and-mathematical-sciences	chemistry-and-biochemistry	paul-burton-farnsworth	Paul Burton Farnsworth	Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/paul-burton-farnsworth				
physical-and-mathematical-sciences	computer-science	ryan-matthew-farrell	Ryan Matthew Farrell	Assistant Professor	Computer Science	/physical-and-mathematical-sciences/computer-science/ryan-matthew-farrell				
humanities	philosophy	james-e-faulconer	James E Faulconer	Professor	Philosophy	/humanities/philosophy/james-e-faulconer				
education	teacher-education	erika-feinauer	Erika Feinauer	Associate Professor	Teacher Education	/education/teacher-education/erika-feinauer				
life-sciences	exercise-sciences	jeffrey-brent-feland	Jeffrey Brent Feland	Associate Professor	Exercise Sciences	/life-sciences/exercise-sciences/jeffrey-brent-feland				
physical-and-mathematical-sciences	statistics	gilbert-w-fellingham	Gilbert W Fellingham	Professor	Statistics	/physical-and-mathematical-sciences/statistics/gilbert-w-fellingham				
education	educational-leadership-and-foundations	scott-ellis-ferrin	Scott Ellis Ferrin	Professor	Educational Leadership and Foundations	/education/educational-leadership-and-foundations/scott-ellis-ferrin				
family-home-and-social-sciences	anthropology	cynthia-s-finlayson	Cynthia S Finlayson	Associate Professor	Anthropology	/family-home-and-social-sciences/anthropology/cynthia-s-finlayson				
education	counseling-psychology-and-special-education	lane-fischer	Lane Fischer	Associate Professor	Counseling Psychology and Special Education	/education/counseling-psychology-and-special-education/lane-fischer				
physical-and-mathematical-sciences	mathematics	todd-lowell-fisher	Todd Lowell Fisher	Associate Professor	Mathematics	/physical-and-mathematical-sciences/mathematics/todd-lowell-fisher				
engineering-and-technology	chemical-engineering	thomas-h-fletcher	Thomas H Fletcher	Professor	Chemical Engineering	/engineering-and-technology/chemical-engineering/thomas-h-fletcher				
life-sciences	plant-and-wildlife-sciences	loreen-allphin-flinders	Loreen Allphin Flinders	Associate Professor	Plant and Wildlife Sciences	/life-sciences/plant-and-wildlife-sciences/loreen-allphin-flinders				
family-home-and-social-sciences	psychology	ross-flom	Ross A Flom	Associate Professor	Psychology	/family-home-and-social-sciences/psychology/ross-flom				
humanities	french-and-italian	christopher-martin-flood	Christopher Martin Flood	Assistant Professor	French and Italian	/humanities/french-and-italian/christopher-martin-flood				
engineering-and-technology	civil-and-environmental-engineering	fernando-s-fonseca	Fernando S Fonseca	Associate Professor	Civil and Environmental Engineering	/engineering-and-technology/civil-and-environmental-engineering/fernando-s-fonseca				
physical-and-mathematical-sciences	mathematics	rodney-w-forcade	Rodney W Forcade	Professor	Mathematics	/physical-and-mathematical-sciences/mathematics/rodney-w-forcade				
family-home-and-social-sciences	sociology	renata-forste	Renata A Forste	Professor	Sociology	/family-home-and-social-sciences/sociology/renata-forste				
management	marketing-and-global-supply-chain	stephen-t-foster	Stephen T Foster	Professor	Marketing and Global Supply Chain	/management/marketing-and-global-supply-chain/stephen-t-foster				
fine-arts-and-communications	school-of-music	irene-weiss-fox	Irene Weiss Fox	Professor	School of Music	/fine-arts-and-communications/school-of-music/irene-weiss-fox				
family-home-and-social-sciences	economics	brigham-r-frandsen	Brigham R Frandsen	Assistant Professor	Economics	/family-home-and-social-sciences/economics/brigham-r-frandsen				
engineering-and-technology	civil-and-environmental-engineering	kevin-w-franke	Kevin W Franke	Assistant Professor	Civil and Environmental Engineering	/engineering-and-technology/civil-and-environmental-engineering/kevin-w-franke				
humanities	english	joseph-clark-franklin	Joseph Clark Franklin	Assistant Professor	English	/humanities/english/joseph-clark-franklin				
religious-education	ancient-scripture	nicholas-j-frederick	Nicholas J Frederick	Assistant Professor	Ancient Scripture	/religious-education/ancient-scripture/nicholas-j-frederick				
nursing	nursing-program	donna-susan-freeborn	Donna Susan Freeborn	Associate Professor	Nursing Program	/nursing/nursing-program/donna-susan-freeborn				
management	recreation-management	patti-ann-freeman	Patti Ann Freeman	Professor	Recreation Management	/management/recreation-management/patti-ann-freeman				
religious-education	church-history-and-doctrine	robert-c-freeman	Robert C Freeman	Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/robert-c-freeman				
family-home-and-social-sciences	political-science	earl-howard-fry	Earl Howard Fry	Professor	Political Science	/family-home-and-social-sciences/political-science/earl-howard-fry				
engineering-and-technology	school-of-technology	richard-e-fry	Richard E Fry	Associate Professor	School of Technology	/engineering-and-technology/school-of-technology/richard-e-fry				
education	communication-disorders	martin-fujiki	Martin Fujiki	Professor	Communication Disorders	/education/communication-disorders/martin-fujiki				
life-sciences	nutrition-dietetics-and-food-science	susan-fullmer	Susan Fullmer	Teaching Professor	Nutrition Dietetics and Food Science	/life-sciences/nutrition-dietetics-and-food-science/susan-fullmer				
engineering-and-technology	mechanical-engineering	david-t-fullwood	David T Fullwood	Associate Professor	Mechanical Engineering	/engineering-and-technology/mechanical-engineering/david-t-fullwood				
family-home-and-social-sciences	sociology	ryan-patrick-gabriel	Ryan Patrick Gabriel	Assistant Professor	Sociology	/family-home-and-social-sciences/sociology/ryan-patrick-gabriel				
education	counseling-psychology-and-special-education	terisa-p-gabrielsen	Terisa P Gabrielsen	Assistant Professor	Counseling Psychology and Special Education	/education/counseling-psychology-and-special-education/terisa-p-gabrielsen				
family-home-and-social-sciences	psychology	shawn-d-gale	Shawn D Gale	Associate Professor	Psychology	/family-home-and-social-sciences/psychology/shawn-d-gale				
management	organizational-leadership-and-strategy	benjamin-m-galvin	Benjamin M Galvin	Assistant Professor	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy/benjamin-m-galvin				
family-home-and-social-sciences	psychology	edwin-e-gantt	Edwin E Gantt	Associate Professor	Psychology	/family-home-and-social-sciences/psychology/edwin-e-gantt				
family-home-and-social-sciences	history	ignacio-molina-garcia	Ignacio Molina Garcia	Professor	History	/family-home-and-social-sciences/history/ignacio-molina-garcia				
humanities	spanish-and-portuguese	mara-lucy-garcia	Mara Lucy Garcia	Professor	Spanish and Portuguese	/humanities/spanish-and-portuguese/mara-lucy-garcia				
humanities	linguistics-and-english-language	dee-i-gardner	Dee I Gardner	Associate Professor	Linguistics and English Language	/humanities/linguistics-and-english-language/dee-i-gardner				
management	marketing-and-global-supply-chain	john-wallace-gardner	John Wallace Gardner	Assistant Professor	Marketing and Global Supply Chain	/management/marketing-and-global-supply-chain/john-wallace-gardner				
humanities	linguistics-and-english-language	marvin-kent-gardner	Marvin Kent Gardner	Teaching Professor	Linguistics and English Language	/humanities/linguistics-and-english-language/marvin-kent-gardner				
fine-arts-and-communications	design	jerryl-lindsay-garns	Jerryl Lindsay Garns	Associate Professor	Design	/fine-arts-and-communications/design/jerryl-lindsay-garns				
religious-education	church-history-and-doctrine	alonzo-l-gaskill	Alonzo L Gaskill	Associate Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/alonzo-l-gaskill				
management	information-systems	james-eric-gaskin	James Eric Gaskin	Assistant Professor	Information Systems	/management/information-systems/james-eric-gaskin				
life-sciences	plant-and-wildlife-sciences	bradley-dale-geary	Bradley Dale Geary	Associate Professor	Plant and Wildlife Sciences	/life-sciences/plant-and-wildlife-sciences/bradley-dale-geary				
non-college-and-other-units	neal-maxwell-institute-religious-scholarship	john-l-gee	John L Gee	Senior Research Fellow	Neal A. Maxwell Institute for Religious Scholarship	/non-college-and-other-units/neal-maxwell-institute-religious-scholarship/john-l-gee				
physical-and-mathematical-sciences	physics-and-astronomy	kent-l-gee	Kent L Gee	Associate Professor	Physics and Astronomy	/physical-and-mathematical-sciences/physics-and-astronomy/kent-l-gee				
education	educational-leadership-and-foundations	macleans-anthony-geo-jaja	MacLeans Anthony Geo-JaJa	Professor	Educational Leadership and Foundations	/education/educational-leadership-and-foundations/macleans-anthony-geo-jaja				
engineering-and-technology	school-of-technology	andrew-robert-george	Andrew Robert George	Assistant Professor	School of Technology	/engineering-and-technology/school-of-technology/andrew-robert-george				
life-sciences	exercise-sciences	james-david-george	James David George	Associate Professor	Exercise Sciences	/life-sciences/exercise-sciences/james-david-george				
humanities	asian-and-near-eastern-languages	van-craig-gessel	Van Craig Gessel	Professor	Asian and Near Eastern Languages	/humanities/asian-and-near-eastern-languages/van-craig-gessel				
education	counseling-psychology-and-special-education	gordon-stanley-gibb	Gordon Stanley Gibb	Associate Professor	Counseling Psychology and Special Education	/education/counseling-psychology-and-special-education/gordon-stanley-gibb				
family-home-and-social-sciences	sociology	benjamin-guild-gibbs	Benjamin Guild Gibbs	Assistant Professor	Sociology	/family-home-and-social-sciences/sociology/benjamin-guild-gibbs				
family-home-and-social-sciences	school-of-family-life	richard-wesley-gibbs	Richard Wesley Gibbs	Associate Professor	School of Family Life	/family-home-and-social-sciences/school-of-family-life/richard-wesley-gibbs				
life-sciences	biology	richard-angus-gill	Richard Angus Gill	Associate Professor	Biology	/life-sciences/biology/richard-angus-gill				
fine-arts-and-communications	design	eric-gillett	Eric A Gillett	Associate Professor	Design	/fine-arts-and-communications/design/eric-gillett				
fine-arts-and-communications	school-of-music	geralyn-giovannetti	Geralyn A Giovannetti	Professor	School of Music	/fine-arts-and-communications/school-of-music/geralyn-giovannetti				
physical-and-mathematical-sciences	computer-science	christophe-gerard-giraud-carrier	Christophe Gerard Giraud-Carrier	Associate Professor	Computer Science	/physical-and-mathematical-sciences/computer-science/christophe-gerard-giraud-carrier				
physical-and-mathematical-sciences	mathematics	scott-alan-glasgow	Scott Alan Glasgow	Associate Professor	Mathematics	/physical-and-mathematical-sciences/mathematics/scott-alan-glasgow				
non-college-and-other-units	counseling-and-career-center	robert-l-gleave	Robert L Gleave	Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/robert-l-gleave				
management	school-of-accountancy	steven-morris-glover	Steven Morris Glover	Professor	School of Accountancy	/management/school-of-accountancy/steven-morris-glover				
physical-and-mathematical-sciences	chemistry-and-biochemistry	steven-rex-goates	Steven Rex Goates	Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/steven-rex-goates				
management	organizational-leadership-and-strategy	paul-charles-godfrey	Paul Charles Godfrey	Professor	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy/paul-charles-godfrey				
non-college-and-other-units	counseling-and-career-center	thomas-r-golightly	Thomas R Golightly	Associate Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/thomas-r-golightly				
family-home-and-social-sciences	political-science	jay-michael-goodliffe	Jay Michael Goodliffe	Associate Professor	Political Science	/family-home-and-social-sciences/political-science/jay-michael-goodliffe				
religious-education	church-history-and-doctrine	michael-goodman	Michael A Goodman	Associate Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/michael-goodman				
physical-and-mathematical-sciences	computer-science	michael-goodrich	Michael A Goodrich	Professor	Computer Science	/physical-and-mathematical-sciences/computer-science/michael-goodrich				
law-school		james-douglas-gordon	James Douglas Gordon	Professor	Law School	/law-school/james-douglas-gordon				
engineering-and-technology	mechanical-engineering	steven-e-gorrell	Steven E Gorrell	Associate Professor	Mechanical Engineering	/engineering-and-technology/mechanical-engineering/steven-e-gorrell				
education	instructional-psychology-and-technology	charles-r-graham	Charles R Graham	Professor	Instructional Psychology and Technology	/education/instructional-psychology-and-technology/charles-r-graham				
humanities	philosophy	daniel-w-graham	Daniel W Graham	Professor	Philosophy	/humanities/philosophy/daniel-w-graham				
fine-arts-and-communications	art	mark-allen-graham	Mark Allen Graham	Professor	Art	/fine-arts-and-communications/art/mark-allen-graham				
fine-arts-and-communications	design	robert-machoian-graham	Robert Machoian Graham	Associate Professor	Design	/fine-arts-and-communications/design/robert-machoian-graham				
physical-and-mathematical-sciences	mathematics	christopher-p-grant	Christopher P Grant	Associate Professor	Mathematics	/physical-and-mathematical-sciences/mathematics/christopher-p-grant				
physical-and-mathematical-sciences	chemistry-and-biochemistry	steven-william-graves	Steven William Graves	Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/steven-william-graves				
management	marketing-and-global-supply-chain	simon-paul-greathead	Simon Paul Greathead	Assistant Teaching Professor	Marketing and Global Supply Chain	/management/marketing-and-global-supply-chain/simon-paul-greathead				
religious-education	ancient-scripture	matthew-j-grey	Matthew J Grey	Assistant Professor	Ancient Scripture	/religious-education/ancient-scripture/matthew-j-grey				
humanities	english	sirpa-t-grierson	Sirpa T Grierson	Associate Professor	English	/humanities/english/sirpa-t-grierson				
religious-education	ancient-scripture	tyler-j-griffin	Tyler J Griffin	Assistant Teaching Professor	Ancient Scripture	/religious-education/ancient-scripture/tyler-j-griffin				
life-sciences	microbiology-and-molecular-biology	joel-shelby-griffitts	Joel Shelby Griffitts	Associate Professor	Microbiology and Molecular Biology	/life-sciences/microbiology-and-molecular-biology/joel-shelby-griffitts				
fine-arts-and-communications	school-of-music	jeremy-n-grimshaw	Jeremy N Grimshaw	Associate Professor	School of Music	/fine-arts-and-communications/school-of-music/jeremy-n-grimshaw				
physical-and-mathematical-sciences	statistics	scott-d-grimshaw	Scott D Grimshaw	Professor	Statistics	/physical-and-mathematical-sciences/statistics/scott-d-grimshaw				
non-college-and-other-units	counseling-and-career-center	derek-griner	Derek Griner	Assistant Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/derek-griner				
life-sciences	microbiology-and-molecular-biology	julianne-house-grose	Julianne House Grose	Assistant Professor	Microbiology and Molecular Biology	/life-sciences/microbiology-and-molecular-biology/julianne-house-grose				
family-home-and-social-sciences	political-science	joshua-r-gubler	Joshua R Gubler	Assistant Professor	Political Science	/family-home-and-social-sciences/political-science/joshua-r-gubler				
engineering-and-technology	civil-and-environmental-engineering	william-s-guthrie	William S Guthrie	Professor	Civil and Environmental Engineering	/engineering-and-technology/civil-and-environmental-engineering/william-s-guthrie				
family-home-and-social-sciences	history	leslie-hadfield	Leslie A Hadfield	Assistant Professor	History	/family-home-and-social-sciences/history/leslie-hadfield				
life-sciences	exercise-sciences	ronald-l-hager	Ronald L Hager	Associate Professor	Exercise Sciences	/life-sciences/exercise-sciences/ronald-l-hager				
humanities	spanish-and-portuguese	daryl-robert-hague	Daryl Robert Hague	Associate Professor	Spanish and Portuguese	/humanities/spanish-and-portuguese/daryl-robert-hague				
life-sciences	health-science	parley-cougar-hall	Parley Cougar Hall	Assistant Professor	Health Science	/life-sciences/health-science/parley-cougar-hall				
fine-arts-and-communications	school-of-music	rosalind-beth-hall	Rosalind Beth Hall	Associate Professor	School of Music	/fine-arts-and-communications/school-of-music/rosalind-beth-hall				
humanities	english	william-max-hall	William Max Hall	Assistant Professor	English	/humanities/english/william-max-hall				
education	teacher-education	kendra-maria-hall-kenyon	Kendra Maria Hall-Kenyon	Professor	Teacher Education	/education/teacher-education/kendra-maria-hall-kenyon				
education	educational-leadership-and-foundations	pamela-rust-hallam	Pamela Rust Hallam	Associate Professor	Educational Leadership and Foundations	/education/educational-leadership-and-foundations/pamela-rust-hallam				
humanities	linguistics-and-english-language	cynthia-leah-hallen	Cynthia Leah Hallen	Associate Professor	Linguistics and English Language	/humanities/linguistics-and-english-language/cynthia-leah-hallen				
physical-and-mathematical-sciences	mathematics	denise-m-halverson	Denise M Halverson	Professor	Mathematics	/physical-and-mathematical-sciences/mathematics/denise-m-halverson				
life-sciences	nutrition-dietetics-and-food-science	chad-r-hancock	Chad R Hancock	Associate Professor	Nutrition Dietetics and Food Science	/life-sciences/nutrition-dietetics-and-food-science/chad-r-hancock				
family-home-and-social-sciences	political-science	ralph-c-hancock	Ralph C Hancock	Professor	Political Science	/family-home-and-social-sciences/political-science/ralph-c-hancock				
humanities	comparative-arts-and-letters	george-browning-handley	George Browning Handley	Professor	Comparative Arts and Letters	/humanities/comparative-arts-and-letters/george-browning-handley				
education	counseling-psychology-and-special-education	blake-darrell-hansen	Blake Darrell Hansen	Assistant Professor	Counseling Psychology and Special Education	/education/counseling-psychology-and-special-education/blake-darrell-hansen				
engineering-and-technology	school-of-technology	derek-lloyd-hansen	Derek Lloyd Hansen	Assistant Professor	School of Technology	/engineering-and-technology/school-of-technology/derek-lloyd-hansen				
fine-arts-and-communications	school-of-music	h-eric-hansen	H Eric Hansen	Professor	School of Music	/fine-arts-and-communications/school-of-music/h-eric-hansen				
physical-and-mathematical-sciences	chemistry-and-biochemistry	jaron-c-hansen	Jaron C Hansen	Associate Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/jaron-c-hansen				
life-sciences	physiology-and-developmental-biology	jason-merrell-hansen	Jason Merrell Hansen	Assistant Professor	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology/jason-merrell-hansen				
humanities	english	kristine-hansen	Kristine Hansen	Professor	English	/humanities/english/kristine-hansen				
life-sciences	physiology-and-developmental-biology	marc-david-hansen	Marc David Hansen	Associate Professor	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology/marc-david-hansen				
management	organizational-leadership-and-strategy	mark-hillam-hansen	Mark Hillam Hansen	Assistant Professor	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy/mark-hillam-hansen				
life-sciences	plant-and-wildlife-sciences	neil-c-hansen	Neil C Hansen	Associate Professor	Plant and Wildlife Sciences	/life-sciences/plant-and-wildlife-sciences/neil-c-hansen				
life-sciences	health-science	carl-l-hanson	Carl L Hanson	Associate Professor	Health Science	/life-sciences/health-science/carl-l-hanson				
humanities	french-and-italian	jennifer-lynn-haraguchi	Jennifer Lynn Haraguchi	Assistant Professor	French and Italian	/humanities/french-and-italian/jennifer-lynn-haraguchi				
engineering-and-technology	chemical-engineering	john-n-harb	John N Harb	Professor	Chemical Engineering	/engineering-and-technology/chemical-engineering/john-n-harb				
family-home-and-social-sciences	geography	perry-j-hardin	Perry J Hardin	Professor	Geography	/family-home-and-social-sciences/geography/perry-j-hardin				
family-home-and-social-sciences	history	jeffrey-s-hardy	Jeffrey S Hardy	Assistant Professor	History	/family-home-and-social-sciences/history/jeffrey-s-hardy				
family-home-and-social-sciences	psychology	sam-hardy	Sam A Hardy	Associate Professor	Psychology	/family-home-and-social-sciences/psychology/sam-hardy				
life-sciences	microbiology-and-molecular-biology	alan-r-harker	Alan R Harker	Professor	Microbiology and Molecular Biology	/life-sciences/microbiology-and-molecular-biology/alan-r-harker				
fine-arts-and-communications	school-of-music	brian-cameron-harker	Brian Cameron Harker	Professor	School of Music	/fine-arts-and-communications/school-of-music/brian-cameron-harker				
family-home-and-social-sciences	history	craig-e-harline	Craig E Harline	Professor	History	/family-home-and-social-sciences/history/craig-e-harline				
family-home-and-social-sciences	history	donald-james-harreld	Donald James Harreld	Associate Professor	History	/family-home-and-social-sciences/history/donald-james-harreld				
family-home-and-social-sciences	history	amy-harris	Amy Harris	Associate Professor	History	/family-home-and-social-sciences/history/amy-harris				
management	recreation-management	bradley-dean-harris	Bradley Dean Harris	Teaching Professor	Recreation Management	/management/recreation-management/bradley-dean-harris				
education	communication-disorders	richard-w-harris	Richard W Harris	Professor	Communication Disorders	/education/communication-disorders/richard-w-harris				
physical-and-mathematical-sciences	geological-sciences	ronald-albert-harris	Ronald Albert Harris	Professor	Geological Sciences	/physical-and-mathematical-sciences/geological-sciences/ronald-albert-harris				
physical-and-mathematical-sciences	chemistry-and-biochemistry	roger-g-harrison	Roger G Harrison	Associate Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/roger-g-harrison				
management	public-management	david-winther-hart	David Winther Hart	Associate Professor	Public Management	/management/public-management/david-winther-hart				
family-home-and-social-sciences	school-of-family-life	craig-h-hart	Craig H Hart	Professor	School of Family Life	/family-home-and-social-sciences/school-of-family-life/craig-h-hart				
physical-and-mathematical-sciences	physics-and-astronomy	grant-w-hart	Grant W Hart	Associate Professor	Physics and Astronomy	/physical-and-mathematical-sciences/physics-and-astronomy/grant-w-hart				
physical-and-mathematical-sciences	physics-and-astronomy	gus-l-hart	Gus L Hart	Professor	Physics and Astronomy	/physical-and-mathematical-sciences/physics-and-astronomy/gus-l-hart				
physical-and-mathematical-sciences	statistics	brian-matthew-hartman	Brian Matthew Hartman	Assistant Professor	Statistics	/physical-and-mathematical-sciences/statistics/brian-matthew-hartman				
family-home-and-social-sciences	history	gerald-myron-haslam	Gerald Myron Haslam	Associate Professor	History	/family-home-and-social-sciences/history/gerald-myron-haslam				
