college-stub	department-stub	program-stub	department-name	course-credit-hours	course-description	course-number	course-name	course-url
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Introduction to analysis, design, and construction of masonry structures. Compressive, tensile, flexural, and shear behavior of masonry structural components.	CE EN 528	Masonry Design.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Timber species, composition, and grades; design of beams, straight and tapered glue-lam girders, columns, connections, trusses, shear walls, and structural systems.	CE EN 529	Timber Design.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Advanced hydrologic and hydraulic principles with an emphasis on modeling for the purpose of planning and designing draining, flood control, and other water resource facilities.	CE EN 531	Principles of Hydrologic Modeling	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Design of water conveyance channels and control structures, including siphons, chutes, weirs, flumes, dams, spillways, and outlet works.	CE EN 535	Hydraulic Design of Channels and Control Structures.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Hazardous waste statutes and regulations; introduction to hazardous waste treatment, storage, disposal, and monitoring techniques. Geotechnical aspects of environmental engineering. Topics include municipal and hazardous solid waste landfill design and characterization and remediation techniques for contaminated soil and groundwater.	CE EN 540	Geo-Environmental Engineering.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Seepage and slope stability analysis of earth dams, levees, excavations, embankments, and natural slopes; construction dewatering, numerical methods, shear strength of soils, limit equilibrium method.	CE EN 544	Seepage and Slope Stability Analysis.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Earthquake magnitude and intensity; design ground motions, elementary dynamics of structures; response spectra; building code provisions; liquefaction and ground failure.	CE EN 545	Geotechnical Analysis of Earthquake Phenomena.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Computer simulation of groundwater flow systems; modeling theory, numerical methods, data management, boundary conditions, calibration, and stochastic analysis.	CE EN 547	Groundwater Modeling.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Evaluation, selection, and design of water treatment facilities.	CE EN 551	Water Treatment Facilities Design.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Chemical theory and calculation supporting analysis of major organic and inorganic constituents in environmental engineering, focusing on theoretical understanding of the chemical processes.	CE EN 555	Environmental Chemistry.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Traffic stream characteristics, traffic flow theory, traffic control devices, capacity and level of service, warrants, signal timing and optimization, signal coordination.	CE EN 562	Traffic Engineering: Characteristics and Operations.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Design, construction, evaluation, maintenance, and rehabilitation of flexible and rigid pavements; influence of traffic and environmental factors; mechanistic analysis of pavement structures using computer software.	CE EN 563	Pavement Design.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Urban transportation planning and decision making, intermodal transportation, land-use transportation interrelationships, transportation demand modeling, site impact analysis, sustainable transportation; livable cities.	CE EN 565	Urban Transportation Planning.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Programming methods for the development of engineering software. Data structures, architecture, libraries, and graphical user interfaces, with applications to CAD systems.	CE EN 570	(CE En-Me En) Computer-Aided Engineering Software Development.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Mathematical theory of free-form curves and surfaces and solid geometric modeling. Bezier and B-spline curve and surface theory, parametric and implicit forms, intersection algorithms, topics in computer algebra, and free-form deformation. Several programming projects.	CE EN 572	(CE En-Me En) Computer-Aided Geometric Design.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Application of computer optimization techniques to constrained engineering design. Theory and application of unconstrained and constrained nonlinear algorithms. Genetic algorithms. Robust design methods.	CE EN 575	(CE En-Me En) Optimization Techniques in Engineering.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'1-3		CE EN 594 R	Selected Problems in Civil and Environmental Engineering.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Design and analysis of advanced composite structures; deflections, buckling, and vibration of thin plates and sandwich plates; design guidelines; design examples; project.	CE EN 602	(CE En-Me En) Composite Structures.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Derivation of partial differential equations of continuum mechanics. Closed-form solution of classical problems in elasticity. Theory of beams, plates, and axisymmetric shells with closed-form solutions. Large displacement strain tensors, stress tensors, equilibrium equations, beam theory, and plate theory. Constitutive theory including nonlinear elasticity, viscoelasticity, plasticity, and hyperelasticity.	CE EN 604	(CE En-Me En) Continuum and Solid Mechanics.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Nonlinear dynamic finite element analysis of solids. Nonlinear continuum mechanics, finite element formulation, and elementary solution algorithms for nonlinear algebraic problems. focusing on hyperelastic solids. Advanced topics in isogeometric analysis, computational analysis-suitable geometry, and adaptivity. An introduction to dynamics; basic methods of time integration, such as Newmark and &quot;alpha&quot; methods.	CE EN 607	(CE En-Me En) Nonlinear Finite Element Methods.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Sediment transport concepts applied to stream restoration and stream restoration concepts including geomorphology and stream classification. Lectures, field trips, guest lecturers.	CE EN 635	Sediment Transport and River Restoration.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Advanced discussion and analysis of shear strength of soils; finite-element stress analysis distribution in soils; critical state soil mechanics, unsaturated soil mechanics.	CE EN 641	Advanced Soil Mechanics.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Lateral pressures and earth retaining systems, axial and lateral capacities of piles and drilled shafts, foundations subjected to vibratory loadings, foundations on collapsible and expansive soils, soil improvement techniques.	CE EN 644	Advanced Foundation Engineering.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Fate and transport of contaminants in groundwater. Advection, dispersion, adsorption, biodegradation, and computer simulation focusing on the theory and mathematics used to model these processes.	CE EN 648	Groundwater Contaminant Transport.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Evaluation, selection, and design of wastewater treatment facilities.	CE EN 651	Wastewater Treatment Facilities Design.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Treatment and disposal of industrial wastes; basic industries and their waste problems.	CE EN 654	Water and Wastewater Advanced Treatment Processes.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Concept of traffic simulation, modeling techniques, calibration and validation, simulation output comprehension, shock wave analysis, queuing theory, use of simulation software.	CE EN 662	Traffic Simulation and Analysis.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'3	Characteristics of transportation site planning; traffic impact analysis; principles of access design; driveway, site circulation, and parking lot design; permitting of proposed developments.	CE EN 664	Transportation Site Planning.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'1.5	Different legal forms of business ownership, business performance metrics, accounting, business development, marketing, operations management, market forces and competition and business strategy.	CE EN 681	Civil Engineering Business Operations.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'1.5	Managing diversity, building effective teams, team coaching, evaluations, managing conflict and conflict resolution, project management approaches, risk management, critical path, partnering, managing outside consultants, staffing, negotiations, and principles of leadership.	CE EN 682	Civil Engineering Project Management.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'0.5		CE EN 691 R	Civil and Environmental Engineering Seminar.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'1-3		CE EN 694 R	Selected Problems in Civil and Environmental Engineering.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'1-3		CE EN 698 R	Master's Project.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'1-9		CE EN 699 R	Master's Thesis.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'1-3		CE EN 794 R	Selected Topics in Civil and Environmental Engineering.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'1-9		CE EN 797 R	Research for Doctoral Students.	
	civil-and-environmental-engineering		Civil and Environmental Engineering	'1-9		CE EN 799 R	Doctoral Dissertation.	
	communication-disorders		Communication Disorders	'3	Research methods in audiology and speech-language pathology. Applying statistical techniques; professional literature and writing.	COMD 600	Research Methods.	
	communication-disorders		Communication Disorders	'3	Neuroanatomy and neurophysiology underlying normal and impaired language, speech, and hearing processes.	COMD 601	Neurofoundations of Language, Speech, and Hearing.	
	communication-disorders		Communication Disorders	'3	Performing evaluations and determining how assessment informs clinical decision making and intervention in communication disorders.	COMD 610	Assessment and Diagnosis.	
	communication-disorders		Communication Disorders	'3	Theories and practices in language treatment, emphasizing assessment and intervention for developmentally young children.	COMD 630	Early Child Language Intervention.	
	communication-disorders		Communication Disorders	'2	Assessment and treatment of swallowing disorders.	COMD 633	Dysphagia Management.	
	communication-disorders		Communication Disorders	'2	Assessment and treatment of speech and language problems associated with traumatic brain injury.	COMD 634	Traumatic Brain Injury.	
	communication-disorders		Communication Disorders	'3	Speech and language assessment and intervention with persons from culturally and linguistically diverse backgrounds. Specific topics include cultural diversity, bilingualism, and use of interpreters/translators.	COMD 636	Multicultural Issues in Speech-Language Pathology.	
	communication-disorders		Communication Disorders	'3	Assessment and treatment of disorders of the speaking voice.	COMD 657	Voice and Resonance Disorders.	
	communication-disorders		Communication Disorders	'3	Assessment and treatment of fluency disorders, including stuttering.	COMD 658	Fluency Disorders.	
	communication-disorders		Communication Disorders	'3	Assessment and treatment of persons with multiple handicaps, including augmentative communication training.	COMD 674	Autism and Severe Disabilities.	
	communication-disorders		Communication Disorders	'3	Neuropathology, symptomology, clinical assessment, and treatment of adult motor speech disorders.	COMD 675	Motor Speech Disorders.	
	communication-disorders		Communication Disorders	'3	Perspectives on the neurology, clinical assessment, and rehabilitation of aphasic language disturbances in adults.	COMD 676	Aphasia.	
	communication-disorders		Communication Disorders	'3	Impact, assessment, and treatment of language impairment in children, emphasizing evaluation and intervention for school-aged children.	COMD 679	School-Age Language Disorders.	
	communication-disorders		Communication Disorders	'1		COMD 688 R	Practicum in Communication Disorders.	
	communication-disorders		Communication Disorders	'1-3		COMD 693 R	Directed Individual Study.	
	communication-disorders		Communication Disorders	'1-6		COMD 699 R	Master's Thesis.	
	communications		Communications	'3	Introduction to graduate education, communications theory, research, and academic writing. Faculty research programs presented.	COMMS 600	Introduction to Graduate Studies in Communications.	
	communications		Communications	'3	Major methods of qualitative research used in communications studies.	COMMS 602	Qualitative Research Methods.	
	communications		Communications	'3	In-depth investigation of the history of mass media, including study of historical research methods.	COMMS 604	Communications History and Historical Research Methods.	
	communications		Communications	'3	Role of communication internationally and its impact on culture, ethics, morality, and politics around the world. Comparison of communication systems, media flows, and communications among countries.	COMMS 607	International Media and Communications.	
	communications		Communications	'3	Nature and content of contemporary mass communication theory.	COMMS 610	Studies in Communications Theory.	
	communications		Communications	'3	Major methods of research used in communications studies.	COMMS 611	Communications/Social Science Research Methods.	
	communications		Communications	'1-3	Practical experience in research under direction of individual faculty.	COMMS 612 R	Research Practicum.	
	communications		Communications	'3	Media's roles in major social settings. Capstone course, including preparation for comprehensive exams.	COMMS 616	Media Effects: Individual, Family, and Society.	
	communications		Communications	'3	Issues related to gender, race, and class in the communication process.  Implications of current developments in critical theory and issues of diversity.	COMMS 619	Gender, Race, and Class in Mass Communications.	
	communications		Communications	'3	Seminar regarding the interface of media and religion.	COMMS 621	Media and Religion.	
	communications		Communications	'3	Preannounced societal issue or issues ( such as environment, impact of new technologies, vulnerable audiences, consumerism, nonprofits, health communications, terrorism, etc.).	COMMS 622 R	Seminar on Media and Current Societal Issues.	
	communications		Communications	'3	Critiquing journalism theories and philosophy ranging from traditional libertarian ideals to contemporary movements of public journalism and public service broadcasting.	COMMS 623	Literature of Journalism.	
	communications		Communications	'3	Review of literature and research on ethics. Legal and regulatory relationship between government and communications; legal research methods.	COMMS 624	Seminar on Media Law and Ethics.	
	communications		Communications	'3	Persuasion theories and links to practice of integrated communications, including promotion, advertising, public relations, direct marketing, and branding.	COMMS 625	Integrative Persuasive Communications.	
	communications		Communications	'3	Relationship of strategic communications and stakeholder theory to current issues in the field, including reputation, image, apologia, trust, transparency, power, leadership, conflict resolution, and change.	COMMS 627	Public Relations Theory and Leadership.	
	communications		Communications	'1-3	Individual study with a graduate faculty member.	COMMS 691 R	Special Studies in Communications.	
	communications		Communications	'1-3	Individual work in professional communications settings, with oversight and assessment by graduate faculty member.	COMMS 692 R	Professional Practicum.	
	communications		Communications	'1-3	Seminar on focused pre-announced topic relating to specific media issues.	COMMS 695 R	Topical Seminar.	
	communications		Communications	'1-6		COMMS 698 R	Master's Project.	
	communications		Communications	'1-6		COMMS 699 R	Master's Thesis.	
	computer-science		Computer Science	'1.5	Introduction for science, math, and statistics majors to careers in industry. Project planning, oral and written business presentations, business accounting, and technology readiness.	C S 500	(C S-Chem-Geol-Math-MthEd-Phscs-Stat) Business Career Essentials in Science and Math.	
	computer-science		Computer Science	'1-3	Advanced undergraduate- and graduate-level subjects as announced before each semester.	C S 501 R	Advanced Topics in Computer Science.	
	computer-science		Computer Science	'3	Introduction to the analysis and design of feedback systems guaranteed to perform well in spite of model uncertainty.	C S 513	Robust Control.	
	computer-science		Computer Science	'3	Free-form curves and surfaces; mathematical theory and algorithms. Bezier and B-spline curves and surfaces, subdivision surfaces, T-splines, free-form deformation, and intersection algorithms. Several programming projects.	C S 557	Computer-Aided Geometric Design.	
	computer-science		Computer Science	'3	Graduate-level subjects and new graduate courses as announced before each semester.	C S 601 R	Graduate Topics in Computer Science.	
	computer-science		Computer Science	'3	Proofs (deductive and inductive reasoning), computability (models of computability and computability issues), and complexity (time and space bounds, nondeterminism, and complexity classification).	C S 611	Theoretical Foundations of Computing.	
	computer-science		Computer Science	'3	Algorithms for DNA sequence analysis. Heuristics analyzed and developed for NP-complete problems including alignment, phylogeny, secondary structure predictions, protein folding, and microarray analysis.	C S 618	Computational Biology.	
	computer-science		Computer Science	'3	Empirical research in software engineering.  Experimental and observational studies, statistical methods, and historically relevant search results.	C S 628	Empirical Software Engineering.	
	computer-science		Computer Science	'3	Advanced coverage of the theory of the design, implementation, and semantics of programming languages and type systems.	C S 630	Advanced Programming Languages Theory.	
	computer-science		Computer Science	'3	Machine vision, image segmentation, mathematical morphology, image enhancement and filtering, edge detection, feature extraction, neighborhood operators, region growing, boundary detection, scene segmentation, and matching.	C S 650	Computer Vision 1.	
	computer-science		Computer Science	'3	Information extraction from structured, semistructured, and unstructured documents, including Web documents; integrating heterogeneous source information; theoretical foundations of information modeling; topics of current interest.	C S 652	Information Extraction and Integration.	
	computer-science		Computer Science	'3	IR modeling, IR query languages, text indexing and searching, retrieval evaluation, query and text operations, parallel and distributed IR, Web searching.	C S 653	Information Retrieval.	
	computer-science		Computer Science	'3	Advanced computer graphics systems programming and architecture, including ray tracing, radiosity, animation, and physically based modeling.	C S 655	Advanced Computer Graphics.	
	computer-science		Computer Science	'3	Advanced techniques for interacting with humans using pen-based, speech-based, hand-held, wall-sized, and room-sized devices.  Embedding computing in everyday objects.	C S 656	Interactive Software Systems.	
	computer-science		Computer Science	'3	Algorithms which model natural phenomena for use in computer-generated images and animation, including visually plausible models of plants, terrain, fluids, and the sky.	C S 658	Computer Generated Natural Phenomena.	
	computer-science		Computer Science	'3	Computer networking, software architecture, organization, protocols, routing, global networks, local networks, internetworking, standards, and applications.	C S 660	Computer Networks.	
	computer-science		Computer Science	'3	Authentication and authorization using digital credentials.	C S 665	Advanced Computer Security.	
	computer-science		Computer Science	'3	Introduction to fundamental concepts emphasizing current literature. Topics include game theory, repeated play games, Arrow's impossibility theorem, negotiation, search, and learning.	C S 670	Multi-Agent Systems.	
	computer-science		Computer Science	'3	Project-based course for understanding creativity as a way to increase the robustness of intelligent systems while applying AI/ML tools to challenging problems.	C S 673	Computational Creativity.	
	computer-science		Computer Science	'3	Data mining process, data warehousing concepts, text mining, ethical issues, meta-learning, and key success factors.	C S 676	Advanced Topics in Data Mining.	
	computer-science		Computer Science	'3	Applying Bayesian methods useful for incorporating confidence or belief into problems in computer science, allowing computers to better handle uncertainty.	C S 677	Bayesian Methods in Computer Science.	
	computer-science		Computer Science	'3	Advanced models, algorithms, and approaches in neural networks and machine learning.	C S 678	Advanced Neural Networks and Machine Learning.	
	computer-science		Computer Science	'3	Exploratory data analysis in large collections of text particularly emphasizing techniques for text classification, text clustering, and topic identification.	C S 679	Advanced Natural Language Processing.	
	computer-science		Computer Science	'3	Techniques for managing state explosion and specialized algorithms for verifying classes of infinite state systems.	C S 686	Advanced Model Checking.	
	computer-science		Computer Science	'1-3	Graduate-level special projects and mentored learning experiences.	C S 698 R	Graduate Special Projects.	
	computer-science		Computer Science	'0.5-6		C S 699 R	Master's Thesis.	
	computer-science		Computer Science	'3	Computer science scholarship, including research methods, literature review, course instruction, and writing, presenting, and evaluation of computer science research work.	C S 705	Scholarship in Computer Science.	
	computer-science		Computer Science	'1-3	Latest research in the field of algorithmic decision processes.  Recent papers read, presented, and discussed.	C S 712 R	Topics in Algorithmic Decision Processes.	
	computer-science		Computer Science	'3	Advanced topics in computer vision:  radiometric model; photometric stereo; shape from shading; monocular, binocular models; perspective projective geometry; image matching; depth from stereo; exterior, relative, interior, absolute orientation; optical flow.	C S 750	Computer Vision 2.	
	computer-science		Computer Science	'3	Latest research in the field of computer graphics.  Recent papers read, presented, and discussed.	C S 755 R	Topics in Computer Graphics.	
	computer-science		Computer Science	'3	Advanced topics and readings in neural  networks and machine learning.	C S 778 R	Topics in Neural Networks and Machine Learning.	
	computer-science		Computer Science	'3	Focused readings and projects as suggested by class interest and current trends.	C S 786 R	Readings in Model Checking.	
	computer-science		Computer Science	'0.5-18		C S 799 R	Doctoral Dissertation.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Introduction to the current issues and research behind the principles, concepts, and experimental foundation of behavior analysis.	CPSE 601	Current Issues and Research: Principles of Behavior.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3-4	Theory of assessment and intervention for youth with behavioral, social, and emotional problems. Evidence-based interventions focusing on individual, group, and school-wide application. Assessments are aligned with DSM-V and IDEA identification systems. Interventions focus on evidence-based practice.	CPSE 602	Child and Adolescent Social/Emotional Assessment and Intervention.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Introduction to the profession of school psychology; ethics, professional roles, and standards of practice, focusing particularly on school-based settings.	CPSE 605	Ethics, Professional Roles, and Standards.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Basic educational and counseling philosophy; tests and measurement theory; professional roles and challenges; the school counselor--psychologists' personal impact on students and programs.	CPSE 606	Psychoeducational Foundations.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'1.5	Assessment and educational intervention for children from non-English-language and other diverse backgrounds. Utilizing nonverbal and alternative forms of assessment.	CPSE 607	Bilingual Assessment.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Biological basis of human behavior: relationship between neurological processes and behavior; medications used in treating various disorders.	CPSE 608	Biological Basis of Behavior.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'4	Curriculum-based evaluation integrated with standardized academic assessment of reading, writing, and math. Identifying academic needs; developing research-based interventions; setting goals; monitoring progress; and adapting interventions as needed.	CPSE 609	Academic Assessment and Interventions.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Models and methods of consultation with teachers, parents, and professionals.	CPSE 610	Consultation Within School and Family Systems.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'1.5	Overview of laws, regulations, and policies related to special and general education and professional practice in school psychology.	CPSE 611	Special Education Law, Regulations, and Policies.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'1-3	Overview of characteristics, etiology, and prevalence of Autism Spectrum Disorders (ASD); teaches strategies and skills supporting children's learning and daily functioning; review of instruction strategies, classroom organization, and teaming with families and professionals.	CPSE 613	Autism Spectrum Disorders.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Functional assessment of behaviors using formal and informal behavioral observations. Utilizing collected data to develop and monitor behavioral interventions.	CPSE 614	Applied Behavioral Assessment and Intervention.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Principles, procedures, and strategies for academics and classroom behavior management using Multi-Tiered System of Supports and evidence-based practices to assist at-risk learners in mastering academic and behavioral competencies for success in school and life.	CPSE 615	Academic and Behavioral Problem Solving via MTSS.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Core professional and ethical compliance principles, laws and regulations to guide policy issues, and problem solving using a legal reference for working with students who are at risk.	CPSE 618	Ethics, Professional Conduct, and Legal Issues in Special Education.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Prepares special educators to treat challenging problem behaviors. Building on universal behavioral strategies by using targeted and intense interventions required for students with severe behavioral challenges, referred to as Tiers 2 and 3 problems.	CPSE 619	Positive Behavior Support: Managing Challenging Behaviors.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Prepares learners to work collaboratively within a school-wide multi-tiered system of support to assess individual student academic needs, to use data to plan instruction, to monitor student progress and make changes as needed.	CPSE 620	Evidence-Based Academic Intervention for RTI.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Learning and cognitive development theories and their application to attitudinal and behavioral change.	CPSE 622	Theories of Learning and Cognition.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Introduction to the design options available for conducting basic and applied educational research and how to read and write research reports. Quantitative, qualitative, and mixed methods along with ideas for protecting human subjects are discussed.	CPSE 629	(CPSE - IP&T) Introduction to Research.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Theories of career development in lifespan and career counseling. Assessing interests, values, and other characteristics related to career decision making.	CPSE 644	Career Development and Assessment.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Various theories of counseling, current research, processes, and micro-skills training for interviewing and relationship building.	CPSE 646	Counseling Theory and Interventions.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Testing and measurement theory and experience in administering, scoring, and interpreting various standardized and individual intelligence tests.	CPSE 647	Psychometric Foundations and Assessment of Intelligence.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Primarily group approaches to personal and social counseling and guidance, including skill-streaming groups, divorce and loss groups, parent education groups, grief therapy interventions, and problem-focused interventions.	CPSE 648	Group Counseling and Intervention.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Psychoeducational aspects of developmental theory across the life span, including psychosocial, moral, ego, cognitive, faith, and identity. Developmental implications in the counseling process.	CPSE 649	Human Growth and Development.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Current theories and research on social interactions and their implications for understanding human thoughts, feelings, and behavior.	CPSE 650	Social Psychology.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Emphasis on conceptual understanding and practical application of descriptive and basic inferential statistics to decision making.	CPSE 651	(CPSE - IP&T) Statistics 1: Foundations.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Provides an introduction to qualitative inquiry in education, emphasizing major assumptions of qualitative research, a survey of prominent qualitative approaches, differences between various qualitative approaches and more traditional qualitative strategies, and practice with basic qualitative research skills such as interviewing, transcription, data analysis, and report writing.	CPSE 653	(CPSE-IP&T) Qualitative Research 1 (Intro to Qualitative Research).	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Human crises; preventive, developmental, and remedial interventions within school and family systems.	CPSE 655	Crisis Intervention.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Spiritual values and perspectives, issues, and approaches in counseling and psychotherapy.	CPSE 656	Spiritual Values and Methods in Psychotherapy.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Application of applied behavior analysis in designing and conducting single-subject research in school and other applied settings.	CPSE 673	Single-Subject Research Design.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'1-3	Supervised experiences in observing, planning, and implementing effective assessment, intervention, and monitoring strategies in school settings.	CPSE 678 R	Practicum in School Psychology.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'1-3	Clinical experience in individual counseling, group counseling, consultation, testing, in-service, career and education guidance, and/or therapeutic interventions in an educational setting under supervision.	CPSE 679 R	Practicum in Counseling Psychology.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'1-3	Practical experience in assessment, teaching, and mentoring in a school setting.	CPSE 688 R	Internship:  Special Education.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'1-3	Practical experience in a public school setting.	CPSE 688 R	Academic Internship.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'1-3	Concluding supervised practical experience in assessment, counseling, and interventions in a school setting. Testing, consultation, and other activities of the school psychologist.	CPSE 688 R	Internship:  School Psychology.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'0.5-4		CPSE 690 R	Seminar in Special Education.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'0.5-3		CPSE 693 R	Directed Individual Study.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'0.5-6		CPSE 697 R	Special Projects.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'0.5-6		CPSE 699 R	Master's Thesis.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Introduction to counseling psychology. Philosophical assumptions and theoretical perspectives. Integration of science and practice within a consistent philosophical framework.	CPSE 702	Philosophy and Theories in Counseling Psychology.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Ethical and legal standards and issues in the helping professions.	CPSE 710	Ethical/Legal Standards and Issues.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Diagnosis, classification, and treatment of emotional problems and mental disorders.	CPSE 715	Diagnosis and Treatment of Mental Disorders.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Objective assessment of personality (including MMPI) as well as projective techniques (including TAT). Pragmatic psychological report writing.	CPSE 725	Objective and Projective Personality Assessment.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Conceptual and applied processes in hierarchical linear modeling with cross sectional nested data and longitudinal repeated measures data.	CPSE 730	(CPSE - IP&T) Hierarchical Linear Modeling.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Survey of current research in career psychology. Advanced career counseling techniques focusing on the interface between career and personal issues and the use of assessment.	CPSE 744	Advanced Career Counseling.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	An examination of multiple regression as an inferential statistical procedure in its own right and as a foundation for subsequent courses in structural equation modeling, path analysis, and factor analysis.	CPSE 745	(CPSE - IP&T) Statistics 2: Multiple Regression.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Theoretical models and approaches to consultation and supervision of counseling; practice in supervising counselors in training.	CPSE 746	Supervision and Consultation Theory.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Examination of Structural Equation Modeling with expressions in Path Analysis, Confirmatory Factor, and Latent Variable Modeling.	CPSE 747	(CPSE - IP&T) Structural Equation Modeling.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Theory and methods of group counseling; advanced skills in conducting group therapy.	CPSE 748	Advanced Theory of Group Counseling.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Advanced counseling process and outcome research methods. Includes between groups, within-subjects experimental designs; quasi-experimental and times series designs; discovery-oriented, small N, and qualitative research strategies.	CPSE 750	Research Theory and Methods in Counseling Psychology.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	Multicultural competency training on issues of race, ethnicity, gender, sexual orientation, age, socioeconomic status, disability, and religion. Knowledge, skills, and awareness applied to counseling.	CPSE 751	Counseling Multicultural and Diverse Populations.	
	counseling-psychology-and-special-education		Counseling Psychology and Special Education	'3	An in-depth exploration of qualitative research approaches and data analyses. Options include AR/PAR/Self-Study/Narratives; Hermeneutics, Phenomenology; Ethnography/Case Study; Grounded Theory; emerging methods.	CPSE 753 R	(CPSE - IP&T) Qualitative Research 2 (Advanced).	
